Image,Label,features
0.jpg,3,"[6.0118819e-03 7.4761622e-02 2.7797513e-02 7.6190187e-03 1.5452322e-01
 5.9523585e-04 1.8035647e-02 4.1071274e-03 0.0000000e+00 0.0000000e+00
 6.9880687e-02 4.5952205e-02 1.7261839e-03 3.3464158e-01 1.1636861e-01
 1.1904717e-03 2.3809433e-04 0.0000000e+00 0.0000000e+00 1.6547556e-01
 5.1785517e-02 1.3690424e-03 7.4464001e-02 2.8333226e-02 1.1904717e-03
 2.3809433e-04 0.0000000e+00 0.0000000e+00 1.4559469e-01 9.2737742e-02
 3.1547500e-03 4.3868881e-02 0.0000000e+00 4.1666511e-03 4.7618867e-04
 0.0000000e+00 0.0000000e+00 4.4404592e-02 1.5476132e-02 8.3333015e-04
 5.3333130e-02 0.0000000e+00 2.7380849e-03 2.6190376e-03 0.0000000e+00
 0.0000000e+00 1.4291613e-01 1.3613044e-01 1.3273759e-02 8.3065158e-01
 1.7440410e-01 6.1904527e-02 1.6666603e-03 0.0000000e+00 0.0000000e+00
 9.8213917e-03 1.1309481e-03 1.0714245e-03 2.7380849e-03 0.0000000e+00
 1.3095188e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.2142549e-03
 2.9761792e-04 4.7618867e-04 4.4047451e-03 0.0000000e+00 5.3571223e-04
 0.0000000e+00 0.0000000e+00]"
1.jpg,1,"[2.0210320e-01 3.3259735e-02 4.4575146e-01 1.7162497e-03 2.6631461e-02
 6.5690936e-03 1.8760385e-02 6.5099128e-04 0.0000000e+00 0.0000000e+00
 9.7648688e-03 4.0402886e-01 3.0182323e-03 1.4197528e-01 8.6522654e-02
 7.1017230e-03 1.4558532e-02 0.0000000e+00 0.0000000e+00 4.8824344e-02
 6.3442057e-01 1.1717843e-02 1.1297657e-01 3.6573872e-01 9.4689634e-03
 5.4446543e-03 2.7223271e-03 0.0000000e+00 1.1362757e-02 7.9716839e-02
 1.1362757e-02 1.2901464e-02 4.8469260e-02 2.0121548e-02 2.9590511e-04
 0.0000000e+00 0.0000000e+00 2.7223271e-03 2.5151934e-02 1.4203446e-03
 2.3080599e-03 5.9181024e-05 1.3611636e-03 0.0000000e+00 0.0000000e+00
 0.0000000e+00 2.9412968e-02 5.6577060e-02 4.9712062e-03 9.3506016e-03
 1.5387066e-03 1.6748229e-02 5.9181024e-05 0.0000000e+00 0.0000000e+00
 1.3019826e-03 8.5812481e-03 6.5099128e-04 2.9590511e-04 0.0000000e+00
 1.5978876e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.5508614e-04
 2.4619306e-02 2.3672410e-04 1.0060774e-03 0.0000000e+00 1.0652584e-03
 1.1836205e-04 0.0000000e+00]"
2.jpg,3,"[2.1360964e-03 2.1591892e-02 6.7200437e-02 9.4103701e-03 4.0487686e-01
 1.5587730e-02 5.6577688e-03 1.1240485e-01 3.1175460e-03 0.0000000e+00
 8.4866527e-03 1.4184834e-01 2.0783639e-03 3.6203948e-01 6.8141472e-01
 9.2371734e-04 2.9963082e-02 0.0000000e+00 0.0000000e+00 7.7938652e-03
 3.5158992e-01 1.9051670e-03 2.8057914e-02 1.4196381e-01 0.0000000e+00
 8.6598500e-04 0.0000000e+00 0.0000000e+00 3.1752784e-03 3.1175461e-02
 2.1938286e-03 4.0989956e-03 1.4433083e-03 1.1546467e-04 5.7732334e-05
 0.0000000e+00 0.0000000e+00 1.0391820e-03 1.6684644e-02 6.3505565e-04
 3.2330106e-03 4.0412633e-04 5.7732334e-05 5.7732334e-05 0.0000000e+00
 0.0000000e+00 1.8416615e-02 1.3722976e-01 3.1752784e-03 1.8751462e-01
 2.6787803e-02 3.4639399e-04 2.7134197e-03 0.0000000e+00 0.0000000e+00
 3.9835311e-03 5.6577688e-03 1.8474347e-03 1.1315538e-02 1.7319700e-04
 1.1546467e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.5979551e-03
 9.9876933e-03 1.1546466e-03 1.7666094e-02 4.0412633e-04 4.0412633e-04
 0.0000000e+00 0.0000000e+00]"
3.jpg,4,"[2.1801496e-02 2.9308403e-02 5.7043504e-02 2.4858201e-02 1.2051508e-01
 4.9446692e-04 7.1023433e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00
 1.6883798e-01 2.2466779e-01 4.4052508e-02 8.9273757e-01 7.9204611e-02
 1.6721973e-02 4.4951539e-05 0.0000000e+00 0.0000000e+00 9.7230181e-02
 2.6049417e-01 6.8326341e-03 1.2811188e-01 6.0235062e-03 1.4834008e-03
 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.0912770e-04 1.3080898e-02
 3.5961231e-04 0.0000000e+00 0.0000000e+00 4.4951538e-04 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.2821495e-03 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 4.4951538e-04 4.1490272e-02 4.4951539e-05 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 2.0228194e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 1.9329162e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00]"
6.jpg,0,"[1.01476035e-03 8.13369453e-02 6.90037012e-02 7.41555635e-03
 5.09253561e-01 4.48836312e-02 7.96196610e-03 1.03739731e-01
 1.33480020e-02 0.00000000e+00 3.06769852e-02 4.87084985e-02
 3.98098305e-03 2.28789434e-01 5.00354916e-02 4.68350947e-03
 2.04435185e-01 1.14745982e-02 0.00000000e+00 4.54300418e-02
 7.40775093e-02 3.27845663e-03 1.48467243e-01 9.44507681e-03
 4.13709972e-03 2.22466700e-02 0.00000000e+00 0.00000000e+00
 1.83437448e-02 4.35566381e-02 2.49787164e-03 2.23403394e-01
 1.60800479e-02 2.65398854e-03 1.49091715e-02 0.00000000e+00
 0.00000000e+00 9.21090133e-03 2.73204707e-02 1.24893582e-03
 1.10764995e-01 1.93585046e-02 4.68350947e-04 5.54215275e-02
 0.00000000e+00 0.00000000e+00 1.13106750e-01 2.93656021e-01
 5.93244517e-03 4.28150803e-01 3.09189677e-01 2.65398854e-03
 3.68201882e-01 1.87340379e-03 0.00000000e+00 2.38858983e-02
 6.47885446e-03 1.48311129e-03 2.19344348e-02 1.32699427e-03
 7.80584887e-05 7.80584887e-05 0.00000000e+00 0.00000000e+00
 1.81095693e-02 5.62021136e-03 5.46409399e-04 4.09807079e-02
 1.56116977e-04 1.56116977e-04 0.00000000e+00 0.00000000e+00]"
7.jpg,1,"[0.0000000e+00 5.5986466e-03 1.0243900e-01 0.0000000e+00 1.4714704e-01
 6.2153090e-02 4.0569903e-05 1.0183046e-02 4.1381302e-03 0.0000000e+00
 3.9758505e-03 1.6276646e-01 0.0000000e+00 1.9027284e-01 9.1683924e-01
 4.0569903e-05 1.7850758e-03 0.0000000e+00 0.0000000e+00 4.7466788e-03
 2.2613664e-01 0.0000000e+00 1.7323349e-02 8.6129904e-02 0.0000000e+00
 1.6227961e-04 0.0000000e+00 0.0000000e+00 2.7993233e-03 3.3673018e-02
 0.0000000e+00 1.6227961e-03 9.7367767e-04 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 1.6227961e-03 1.3347498e-02 0.0000000e+00
 2.0284951e-04 3.2455922e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 8.3168298e-03 1.3753197e-02 0.0000000e+00 2.1502050e-03
 3.0427426e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 1.4199466e-03 1.9879253e-03 0.0000000e+00 4.0569903e-05 2.4341942e-04
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.1139803e-04
 6.6940342e-03 0.0000000e+00 4.0569901e-04 3.2455922e-04 0.0000000e+00
 0.0000000e+00 0.0000000e+00]"
8.jpg,1,"[0.0000000e+00 1.0269110e-02 1.1092895e-01 0.0000000e+00 5.1909788e-03
 2.4826420e-03 7.3350786e-04 1.3541683e-03 0.0000000e+00 0.0000000e+00
 1.1848973e-03 2.0086830e-02 0.0000000e+00 1.5048195e-01 3.3312541e-01
 1.0156262e-03 1.3011301e-01 0.0000000e+00 0.0000000e+00 1.6419291e-02
 2.0103757e-01 0.0000000e+00 5.7947117e-01 6.3087314e-01 5.6423680e-05
 4.0681474e-02 0.0000000e+00 0.0000000e+00 2.0481795e-02 1.6007398e-01
 0.0000000e+00 8.0234475e-02 3.2669310e-02 0.0000000e+00 1.1284736e-04
 0.0000000e+00 0.0000000e+00 9.3099074e-03 1.3925365e-01 5.6423680e-05
 5.9978373e-02 1.0551228e-02 5.6423680e-05 1.1284736e-04 0.0000000e+00
 0.0000000e+00 2.2569471e-03 6.0204066e-02 0.0000000e+00 6.0373335e-03
 2.5390657e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 5.0781312e-04 3.4418444e-03 0.0000000e+00 1.6927104e-04 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1284736e-04
 7.2786547e-03 0.0000000e+00 1.6927104e-04 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00]"
9.jpg,3,"[9.43346694e-03 3.74703631e-02 3.70487571e-02 3.30434851e-02
 4.36943442e-01 1.00131775e-03 1.47562614e-03 1.42292515e-03
 0.00000000e+00 0.00000000e+00 2.39789244e-02 2.10803724e-03
 7.79973809e-03 7.61159539e-01 1.15415044e-01 1.37022429e-03
 8.80105607e-03 0.00000000e+00 0.00000000e+00 9.45454761e-02
 9.69697163e-03 4.95388778e-03 3.98682564e-01 8.09486359e-02
 6.85112143e-04 4.21607459e-04 0.00000000e+00 0.00000000e+00
 6.69301823e-02 5.30171394e-02 1.89723354e-03 1.77075136e-02
 8.95915844e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.21212145e-02 4.85375598e-02 2.10803730e-04
 5.11199050e-03 6.32411218e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 5.76021187e-02 9.34387520e-02
 1.02292508e-01 6.31884187e-02 1.54940737e-02 1.58102805e-04
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.53228038e-03
 5.21739246e-03 1.33860372e-02 4.11067251e-03 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.21607459e-04 2.84585031e-03 3.68906534e-03 2.47694389e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
10.jpg,2,"[2.45425059e-03 2.17376482e-02 2.58981854e-01 3.38920299e-03
 8.16914812e-02 1.86990518e-02 2.80485768e-03 2.85744891e-02
 1.46086339e-03 0.00000000e+00 8.58987682e-03 2.76103169e-01
 1.86990516e-03 4.22189534e-01 7.39839673e-01 2.39581591e-03
 7.00630099e-02 1.75303605e-04 0.00000000e+00 1.17453421e-02
 2.12818578e-01 3.44763766e-03 1.01968266e-01 1.34866908e-01
 2.22051237e-03 6.07719179e-03 0.00000000e+00 0.00000000e+00
 9.05735325e-03 6.09472208e-02 1.51929795e-03 1.72966234e-02
 3.63462828e-02 7.01214420e-04 4.09041764e-04 0.00000000e+00
 0.00000000e+00 5.25910826e-03 4.17222604e-02 5.84345362e-05
 2.62955413e-03 1.51929795e-03 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 4.34168614e-02 1.73258394e-01
 5.72658470e-03 6.27586916e-02 1.16869071e-02 8.76518025e-04
 0.00000000e+00 0.00000000e+00 0.00000000e+00 3.85667942e-03
 1.87574867e-02 2.33738145e-04 3.79824475e-03 4.09041764e-04
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.73981032e-03 8.53144191e-03 1.75303605e-04 3.03859590e-03
 1.16869072e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
12.jpg,3,"[1.41936857e-02 3.19864862e-02 1.41936855e-03 4.00464702e-03
 1.02549382e-01 9.32727940e-03 1.52075198e-04 1.11521815e-03
 0.00000000e+00 0.00000000e+00 1.27743175e-02 4.05533880e-04
 1.65761970e-02 8.90349627e-01 1.64900213e-01 2.33181985e-03
 7.56827593e-02 1.11521818e-02 0.00000000e+00 2.13919114e-02
 1.52075209e-03 7.86228776e-02 2.66537130e-01 1.36056617e-01
 1.16590988e-02 2.07836111e-03 8.92174523e-03 0.00000000e+00
 1.37881516e-02 2.70693861e-02 5.31249382e-02 1.06908865e-01
 1.24194752e-02 1.36867687e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.73735379e-03 1.07466476e-02 5.88024128e-03
 5.29221706e-02 6.08300837e-03 6.58992562e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 4.21755239e-02 8.92174523e-03
 4.43552695e-02 2.06011206e-01 2.09863782e-02 7.85721932e-03
 4.05533880e-04 0.00000000e+00 0.00000000e+00 7.95860216e-03
 8.11067759e-04 3.49772978e-03 4.15672222e-03 3.04150395e-04
 5.06917364e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.46087262e-03 3.24427104e-03 5.57609077e-04 8.56690295e-03
 6.99545955e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
